0;Настоящая зимняя сказка! Ледовое шоу «Эльфы. Тайна зимнего леса» 3 января в Almaty Arena! Скидка 20% только на Chocolife.me!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56940/660x305/2022122106122763a302b7242d7.jpeg?1671966061;Сертификат предоставляет возможность посетить ледовое шоу «Эльфы. Тайна зимнего леса» в Almaty Arena.Дата и время проведения: 3 января в 11:00 и в 14:00. Место проведения: г. Алматы, ​мкр. Нуркент, 7, ALMATY ARENA.Детям до 3 лет вход бесплатный (без предоставления отдельного места).Схема зала.​После приобретения сертификата дополнительно оплачивать ничего не нужно.QR-код для прохождения через турникет обновится за 5 дней до мероприятия. Вернуть сертификат можно не позднее, чем за 5 дней. Если до даты мероприятия остается менее 5 дней, сертификат не подлежит возврату.Вы можете приобрести неограниченное количество сертификатов, как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.;2023-01-04;2023-01-04;0;0
1;Новый год в Alem Kids! Праздничная шоу-программа с елкой, спектаклем, дискотекой, играми и подарками для детей с 15 по 31 декабря! Скидка до 15%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56927/660x305/2022121907125763a06cb97e5ae.jpg?1671923499;"Сертификат предоставляет возможность посетить новогоднюю шоу-программу для детей в Alem Kids.В стоимость сертификата включены:новогодний спектакль;мыльная дискотека;бумажная дискотека;игра с елочкой;подарок каждому ребенку;фотосессия с героями праздника.Длительность шоу-программы — 1 час 30 минут.Ограничения по возрасту — от 1 года.Дополнительно оплачиваются (при необходимости):тапочки — 200 тг.носочки — 300 тг.Необходима предварительная запись.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.";2022-12-31;2022-12-31;0;1
2;Еще больше веселья! Посещение детского парка развлечений Nasledniki в ТРЦ Sputnik в будние, выходные и праздничные дни со скидкой до 35%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/56000/55088/660x305/20220413054146256b626f2fd4.jpg?1671966082;Сертификат предоставляет возможность посетить детский парк развлечений Nasledniki в ТРЦ Sputnik.16 и 31 декабря необходимо покупать сертификат выходного дня.Акция действует на четное количество детей. Например, если вы идете в парк с 3 детьми, то необходимо приобрести сертификат на 2 детей, а за 3-го необходимо оплатить полную сумму на кассе парка.Сертификат включает в себя посещение всех развлечений без ограничений по времени.Сертификат действует только на одно посещение парка.Если вы покидаете территорию парка, то для повторного входа необходимо приобрести новый сертификат или билет на кассе.Парк могут посещать дети от 1 года до 13 лет.Доплата за вход для сопровождающего взрослого — 500 тг. на одного человека.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.;2023-01-28;2023-01-28;0;2
3;Еще больше веселья! Посещение детского парка развлечений Nasledniki в ТРК Maxima в будние, выходные и праздничные дни со скидкой до 35%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/56000/55085/660x305/202204150142762591f139895b.jpg?1671966077;Сертификат предоставляет возможность посетить детский парк развлечений Nasledniki в ТРК Maxima.16 и 31 декабря необходимо покупать сертификат выходного дня.Акция действует на четное количество детей. Например, если вы идете в парк с 3 детьми, то необходимо приобрести сертификат на 2 детей, а за 3-го необходимо оплатить полную сумму на кассе парка.Сертификат включает в себя посещение всех развлечений без ограничений по времени.Сертификат действует только на одно посещение парка.Если вы покидаете территорию парка, то для повторного входа необходимо приобрести новый сертификат или билет на кассе.Парк могут посещать дети от 1 года до 13 лет.Доплата за вход для сопровождающего взрослого — 500 тг. на одного человека.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.;2023-01-28;2023-01-28;0;3
4;Подарочные наборы с ассорти чая, кружкой и чайными аксессуарами от компании Organic Space со скидкой до 40%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56937/660x305/2022122209122863a3cedc0f041.jpg?1671969648;"Сертификат предоставляет возможность приобрести подарочные наборы от компании Organic Space.Описание и фотографии подарочных наборов.Вы можете выбрать удобный способ получения заказа:самовывоз из магазина;доставка по Алматы:стоимость доставки — 1 000 тг.,доставка осуществляется с понедельника по субботу с 10:00 до 17:00срок доставки — 1-2 дня.Необходим предварительный заказ.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.";2023-02-04;2023-02-19;1;4
5;Не знаете, что подарить на праздники? Подарочные карты Chocolife.me на 2 000, 5 000, 10 000 и 20 000 тг!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/40000/39184/660x305/20220310063286229f50462c27.jpg?1671945888;"Сертификат предоставляет возможность приобрести подарочную карту Chocolife.me на сумму 2 000, 5 000, 10 000 или 20 000 тг.Как это работает:вы покупаете сертификат и обмениваете его на подарочную карту;затем вы дарите карту другу, родному или близкому человеку;тот, кому вы подарили карту активирует промокод, указанный на карте, и получает на баланс Chocolife.me 2 000, 5 000, 10 000 или 20 000 тг.Сумма, указанная на карте, начисляется в виде бонусов. 1 бонус = 1 тенге.Срок действия бонусов — 5 лет с момента начисления.Сертификаты предоставляются только в электронном виде: напишите сообщение с номером сертификата на почту ok@chocolife.me, и мы отправим вам электронную подарочную карту.Для получения физических сертификатов напишите письмо на электронный адрес: marketing@chocolife.kz. После согласования заказа мы подготовим карты и их можно будет забрать из нашего офиса. Для зачисления баланса карты на счет Chocolife.me необходимо активировать промокод с карты в личном кабинете на сайте.Сертификат является невозвратным.Сертификат по данной акции нельзя оплатить бонусами Chocolife.me.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.";2022-12-31;2022-12-31;1;5
6;Праздник в ваш дом с Adali Project: поздравление от Деда Мороза и Снегурочки со скидкой до 50%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56842/660x305/2022121302124063978bec0197a.jpg?1671923428;"Сертификат предоставляет возможность воспользоваться услугами аниматоров от Adali Project.В программу поздравлений входят:тематический реквизит;музыкальное сопровождение;Дед Мороз + Снегурочка;игры;танцы;стихи.Индивидуальные утренники и дополнительные шоу оплачиваются и обсуждаются отдельно, сценарий на каждый праздник прописывается индивидуально по желанию клиента.Выезд аниматоров оплачивается отдельно — согласно тарифу такси до места заказа либо заказчик может сам забрать аниматоров и привезти обратно.Необходима предварительная бронь.Вы можете приобрести неограниченное количество сертификатов, как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.";2023-01-26;2023-02-10;1;6
7;Новый год в Alem Kids! Праздничная шоу-программа с елкой, спектаклем, дискотекой, играми и подарками для детей с 15 по 31 декабря! Скидка до 15%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56927/660x305/2022121907125763a06cb97e5ae.jpg?1671923499;"Сертификат предоставляет возможность посетить новогоднюю шоу-программу для детей в Alem Kids.В стоимость сертификата включены:новогодний спектакль;мыльная дискотека;бумажная дискотека;игра с елочкой;подарок каждому ребенку;фотосессия с героями праздника.Длительность шоу-программы — 1 час 30 минут.Ограничения по возрасту — от 1 года.Дополнительно оплачиваются (при необходимости):тапочки — 200 тг.носочки — 300 тг.Необходима предварительная запись.Вы можете приобрести неограниченное количество сертификатов по данной акции как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.";2022-12-31;2022-12-31;1;7
8;Чистка зубов, протезирование, лечение кариеса от опытных стоматологов в стоматологии «СарАдан» со скидкой 65%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56493/660x305/202211041111076364a75b2af73.jpg?1671923222;Сертификат предоставляет возможность воспользоваться услугами стоматологии «СарАдан».Дополнительное оплачивается анестезия (при необходимости) — 2 000 тг.Ограничение по возрасту — от 6 лет.Предварительная консультация бесплатная.Необходима предварительная запись.Вы можете приобрести неограниченное количество сертификатов, как для себя, так и в подарок.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.;2023-03-18;2023-03-18;2;8
9;Лечение, чистка и отбеливание зубов, установка брекетов и протезирование в стоматологической клинике Almaty Dent со скидкой до 76%!;https://static.chocolife.me/static/upload/images/deal/for_deal_page/57000/56127/660x305/202109091193761399801b6f57.jpg?1671923112;Сертификат предоставляет возможность воспользоваться услугами стоматологической клиники Almaty Dent.Акция действует только для новых клиентов.Бонус: при разовом лечении 3 зубов — чистка зубов в подарок.Акция не действует на лечение и удаление зуба мудрости.Ограничение по возрасту — с 8 лет.Перед приобретением сертификата необходима консультация стоматолога. Консультация проводится бесплатно.Необходима предварительная запись.Один человек может воспользоваться тремя сертификатами по данной акции, но только при первом посещении.Сертификат распечатывать необязательно, достаточно сообщить его номер или показать QR-код.;2023-01-22;2023-02-05;2;9
